Name,Check,Dates,Type
,Yes,21/08/2022,
Data Science Methodology,Yes,07/11/2022 → 13/11/2022,📒 Lesson
Presentación PowerPoint,Yes,03/11/2022 → 13/11/2022,Presentación
Evaluación de Storytelling,Yes,30/09/2022,Presentación
"Elección de local de examen ",Yes,13/12/2022,📌 Assignment
Fundamentos de la Programación,Yes,29/11/2022 18:00 (CET),📒 Lesson
Fundamentos de la Programción,Yes,22/11/2022 18:00 (CET),📒 Lesson
Fundamentos de la Programación,Yes,15/11/2022 18:00 (CET),📒 Lesson
Fundamentos de la Programación,Yes,08/11/2022 18:00 (CET),
Fundamentos de la Programación,Yes,31/10/2022 18:00 (CET),📒 Lesson
Fundamentos de la Programación,Yes,25/10/2022 18:00 (CEST),📒 Lesson
Fundamentos de la Programación I,Yes,18/10/2022 18:00 (CEST),📒 Lesson
Formación Alumnos AFD,Yes,18/10/2022 11:30 (CEST) → 12:30,Evento
Habilidades Profesionales,Yes,17/10/2022 20:00 (CEST),📒 Lesson
Habilidades Profesionales,Yes,24/10/2022 20:00 (CEST),📒 Lesson
Habilidades Profesionales,Yes,21/11/2022 20:00 (CET),📒 Lesson
Habilidades Profesionales,Yes,14/11/2022 20:00 (CET),📒 Lesson
Habilidades Profesionales,Yes,07/11/2022 20:00 (CET),📒 Lesson
Habilidades Profesionales,Yes,31/10/2022 20:00 (CET),📒 Lesson
Habilidades Profesionales,Yes,28/11/2022 20:00 (CET),📒 Lesson
Fundamentos de la Programación II,No,10/06/2023 12:00 (CEST),
Estructura y Análisis de Datos,Yes,16/06/2023 12:00 (CEST),🔍 Exam
Métodos Numéricos,Yes,09/06/2023 12:00 (CEST),🔍 Exam
Estructura y Análisis de Datos,No,26/04/2023,📌 Assignment
Estructura y Análisis de Datos,No,31/05/2023 19:30 (CEST),📌 Assignment
Métodos numéricos y Factorización,No,28/05/2023 23:59 (CEST),📌 Assignment
Fundamentos de la programación II,Yes,05/05/2023 19:30 (CEST),📒 Lesson
Fundamentos de la programación II,Yes,28/04/2023 19:30 (CEST),📒 Lesson
Fundamentos de la programación II,Yes,21/04/2023 19:30 (CEST),📒 Lesson
Fundamentos de la programación II,Yes,14/04/2023 19:30 (CEST),📒 Lesson
Data Analysis with python,Yes,12/03/2023,🔍 Exam
Entregable Estructura de datos,Yes,22/03/2023 19:30 (CET),📌 Assignment
Fundamentos de la programación II,Yes,31/03/2023 19:30 (CEST),📒 Lesson
Fundamentos de la programación II,Yes,24/03/2023 19:30 (CET),📒 Lesson
Fundamentos de la programación II,Yes,17/03/2023 19:30 (CET),📒 Lesson
Fundamentos de la programación II,Yes,10/03/2023 19:30 (CET),📒 Lesson
,Yes,15/02/2023,
Fundamentos de la programación II,Yes,03/03/2023 19:30 (CET),📒 Lesson
Fundamentos de la programación II,Yes,24/02/2023 19:30 (CET),📒 Lesson
Estructura y análisis de Datos,Yes,04/05/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,26/04/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,19/04/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,12/04/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,29/03/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,22/03/2023 19:30 (CET),📒 Lesson
Estructura y análisis de Datos,Yes,15/03/2023 19:30 (CET),📒 Lesson
Estructura y análisis de Datos,Yes,08/03/2023 19:30 (CET),📒 Lesson
Estructura y análisis de Datos,Yes,01/03/2023 19:30 (CET),📒 Lesson
Estructura y análisis de Datos,Yes,22/02/2023 19:30 (CET),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,03/05/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,25/04/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,18/04/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,11/04/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,28/03/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,21/03/2023 18:00 (CET),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,14/03/2023 18:00 (CET),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,07/03/2023 18:00 (CET),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,28/02/2023 18:00 (CET),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,21/02/2023 18:00 (CET),📒 Lesson
Mét. Numéricos,Yes,04/05/2023 18:00 (CEST),📒 Lesson
Fundamentos de la programación II,No,26/05/2023 19:30 (CEST),📒 Lesson
Fundamentos de la programación II,Yes,19/05/2023 19:30 (CEST),📒 Lesson
Fundamentos de la programación II,Yes,12/05/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,No,24/05/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,17/05/2023 19:30 (CEST),📒 Lesson
Estructura y análisis de Datos,Yes,11/05/2023 19:30 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,No,23/05/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,16/05/2023 18:00 (CEST),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,09/05/2023 18:00 (CEST),📒 Lesson
Mét. Numéricos,No,22/05/2023 18:00 (CEST),📒 Lesson
Mét. Numéricos,No,17/05/2023 18:00 (CEST),📒 Lesson
Mét. Numéricos,No,08/05/2023 18:00 (CEST),📒 Lesson
Mét. Numéricos,No,24/04/2023 18:00 (CEST),📒 Lesson
