Name,Asunto,Created
Cosas que comentar con Karen,,23 de septiembre de 2024 21:05
Neglected,,25 de julio de 2024 1:36
Journal,,25 de abril de 2024 20:23
Journal,"Sweet dream ",18 de marzo de 2024 13:23
Reflections,,18 de febrero de 2024 19:47
Jour nal,,5 de febrero de 2024 22:57
Reflections,SanVi,12 de noviembre de 2022 22:39
Reflections,He fallado totalmente.,13 de agosto de 2022 18:18
Refrecção,Nuevo concepto,28 de abril de 2022 13:11
Daily Reflections,The bottom was reached,7 de abril de 2022 13:02
Daily Reflections,Andreea,3 de abril de 2022 14:26
Daily Reflections,Ego death,17 de febrero de 2022 17:49
Daily Reflections,Switching tasks,2 de diciembre de 2021 9:04
Daily Reflections,Global Challange - Granja del ayer,22 de noviembre de 2021 9:14
Daily Reflections,Vergüenza,10 de noviembre de 2021 9:53
"Daily reflections ",Viaje Portugal,19 de octubre de 2021 11:07
Daily Reflections,Alexitimia,4 de octubre de 2021 23:21
Daily Reflections,Autismo,2 de octubre de 2021 22:47
Daily Reflections,Polimath/ Dificuldad para estudiar,21 de septiembre de 2021 23:33
Daily Reflections,Dificultad para empezar el curso,13 de septiembre de 2021 20:09
"Daily reflections ",Matricula,30 de agosto de 2021 16:58
"Daily reflections ",Transcender,23 de agosto de 2021 13:50
"Daily reflections ",LSD,21 de agosto de 2021 20:53
"Daily Reflections ",LSD experience,20 de agosto de 2021 20:53
"Daily reflections ",Irati,12 de agosto de 2021 13:29
"Daily reflections ",Preparacion,10 de agosto de 2021 19:39
"Daily Reflections ",Conexión con el universo,9 de agosto de 2021 13:00
"Daily Reflections ",Viaje,8 de agosto de 2021 20:43
"Daily Reflections ",Autovalor,6 de agosto de 2021 14:04
"Daily reflections ",Fallo,5 de agosto de 2021 12:09
"Daily reflections ",Perder tiempo,2 de agosto de 2021 14:39
Daily reflections,Exponiendome,1 de agosto de 2021 13:50
"Daily reflections ",Fallo en la piscina,31 de julio de 2021 12:35
"Daily Reflections ",Chica estupenda,26 de julio de 2021 13:24
"Daily reflections ",Cumple Sonia,24 de julio de 2021 19:44
Daily reflections,Maju,20 de julio de 2021 19:40
Daily reflections,Vender drogas,19 de julio de 2021 18:48
Daily reflections,Indicaciones literarias,17 de julio de 2021 19:45
Daily Reflections,El hombre y la nada,16 de julio de 2021 17:21
"Daily reflections ",Aventuras,15 de julio de 2021 12:25
Dayli Reflections,Joke fiasco,11 de julio de 2021 19:21
Daily reflections,Joke,9 de julio de 2021 18:20
"Daily reflections ",Narrador,8 de julio de 2021 19:28
Sensations,Termino de los examenes,8 de julio de 2021 19:28
