Name,Dates,Evaluation,Sets,Property
Gráfica de la ecuación de transporte,30 de mayo de 2022 21:00 (CEST) → 22:30,📒 Lesson,1,No
Gráfica de la ecuación de transporte,31 de mayo de 2022 21:00 (CEST) → 22:30,📒 Lesson,2,Yes
Gráfica de la ecuación de transporte,2 de junio de 2022 18:00 (CEST) → 19:00,Good,2,Yes
Diferencias finitas,31 de mayo de 2022 21:00 (CEST) → 22:30,Bad,1,Yes
Diferencias finitas,1 de junio de 2022 10:00 (CEST) → 12:00,Bad,1,Yes
"Tema 6 ",1 de junio de 2022 12:00 (CEST) → 14:00,Bad,1,Yes
"Tema 6 ",3 de junio de 2022 19:00 (CEST) → 20:00,Medium,2,Yes
Flexión isostática,1 de junio de 2022 20:00 (CEST) → 22:00,Bad,1,Yes
Flexión isostática,3 de junio de 2022 21:00 (CEST) → 23:00,Bad,1,No
Diferencias finitas,5 de junio de 2022 10:00 (CEST) → 12:00,Bad,1,No
Tema 7,4 de junio de 2022 20:00 (CEST) → 21:00,Bad,2,Yes
Examenes Modelización,5 de junio de 2022,,,No
Estructuras isostáticas,8 de junio de 2022,,,No
Flexión isostática,8 de junio de 2022,,,No
